system time,modelled battery use nWh,fuel gauge consumption nWh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1606515143525,1.5568771E7,15568771,5.0,20.081999,-2147483648,30100,-2147483648,30100,4185.0,98.0,1947.0,0.87458875508063604886643815916613675653934478759765625,0.2070461594855344,53497,12.495941162109375,2347,0,198,18944551892,1.8965130724E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.499693615018438,0.6341463414634146,
1606515166367,1.5681133E7,15681133,6.0,20.179998,-2147483648,30200,-2147483648,30200,4185.0,98.0,1959.0,0.92408018511079503820582203843514434993267059326171875,0.2035618389280431,53861,12.327056884765625,2363,0,199,19064584316,1.9084346736E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.8461336252295504,0.6097560975609756,
1606515171214,1807436.0,1807436,1.0,2.135,-2147483648,30100,-2147483648,30100,4185.0,98.0,159.0,117.1403921966309411573092802427709102630615234375,0.40883228690209955,2828,12.416458129882813,2,116,118,1042362354,1.062907521E9,8,7,1,32.13083784301994,0.0,780.7761483860392,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.5002469107683888,0.971830985915493,0.03811274027484078,0.9387755102040817,0.8897353733096897,0.9512195121951219,
1606515193903,1.5561963E7,15561963,6.0,20.051,-2147483648,30200,-2147483648,30200,4185.0,98.0,1948.0,0.87458875508063604886643815916613675653934478759765625,0.2070461594855344,53497,12.709365844726563,2347,0,198,18925547555,1.8944567474E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.499693615018438,0.6341463414634146,
1606515217800,1.5529995E7,15529995,5.0,21.24,-2147483648,30200,-2147483648,30200,4185.0,97.5,1946.0,0.87458875508063604886643815916613675653934478759765625,0.2070461594855344,53497,13.09173583984375,2347,0,198,18943595974,1.8962617974E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.499693615018438,0.6341463414634146,
1606515241113,1.5956412E7,15956412,6.0,20.556,-2147483648,30200,-2147483648,30200,4185.0,97.0,1998.0,0.6363952192795958584525806145393289625644683837890625,0.2368697000319488,54883,13.113510131835938,2411,0,188,19440185941,1.9461683361E10,8,7,1,0.0064183178952780815,0.0,0.09946084390152571,0.0,0.02380584682514821,0.0,0.6099400360265822,0.0,1.0365619194695452,0.3380281690140845,0.005845884629955045,0.7346938775510204,2.672733686209137,0.5853658536585366,
1606515263805,1.5366071E7,15366071,5.0,20.067001,-2147483648,30200,-2147483648,30200,4185.0,97.0,1948.0,0.87458875508063604886643815916613675653934478759765625,0.2070461594855344,53497,13.122467041015625,2347,0,198,18944703723,1.8963859472E10,8,7,1,0.00958533433987065,0.0,0.1518057642644558,0.0,0.03663883838805212,0.0,0.8696594278101637,0.0,1.5362920943763352,0.36619718309859156,0.018446211367137286,0.4489795918367347,3.499693615018438,0.6341463414634146,
1606515283172,1.2953848E7,12953848,5.0,16.697,-2147483648,30200,-2147483648,30200,4185.0,97.0,1613.0,1.0781303949146039400375229888595640659332275390625,0.27257622389388597,44033,13.195541381835938,1931,0,172,15602290471,1.5623031641E10,8,7,1,0.012255728299678272,0.0,0.19721894851090585,0.0,0.04834850017875358,0.0,1.1201041143474961,0.0,1.9251650063247276,0.5352112676056338,0.012662418411752528,0.7142857142857143,4.231158048328914,0.6585365853658537,
1606515320693,2.6643433E7,26643433,9.0,34.813,-2147483648,30200,-2147483648,30200,4185.0,97.0,3416.0,5.38876170503365248265481568523682653903961181640625,0.07028131957499102,95093,13.522140502929688,4187,0,262,33681717112,3.3705391695E10,8,7,1,0.03215591581561996,0.0,0.40785833135020083,0.0,0.0982443999893066,0.0,1.5369348608757403,0.0,5.742796477860751,0.11267605633802817,0.05614576764187857,0.30612244897959184,29.847196181702074,0.07317073170731707,
1606515325578,2060338.0,2060338,1.0,2.2280002,-2147483648,30400,-2147483648,30400,4185.0,97.0,165.0,2882.36686216060343213030137121677398681640625,0.4004204420149568,2975,13.2196044921875,5,116,121,1089016442,1.108977026E9,8,7,1,453.3947174228264,0.0,19714.921570239534,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.9023290653431498,0.9577464788732394,0.053900327677231234,0.9183673469387755,1.6478539458362473,0.926829268292683,
